PaymentID,MsgId,InstrId,EndToEndId,PaymentDate,SettlementDate,Amount,CurrencyCode,DebtorID,CreditorID,DebtorAgentBIC,CreditorAgentBIC,PurposeCode,StatusCode,ChargeBearer,ProcessingTimeMinutes
PACS008-c12c6a8bf8-INST-20250921-00000,PACS008-c12c6a8bf8,INST-20250921-00000,E2E-20250921-00000,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,,,P00001,P00002,NDEASESSXXX,HYVEDEMMXXX,SERV,ACSP,N/A,119.0
PACS008-c12c6a8bf8-INST-20250921-00001,PACS008-c12c6a8bf8,INST-20250921-00001,E2E-20250921-00001,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,11056.35,CHF,P00001,P00003,NDEASESSXXX,ABNANL2AXXX,LOAN,ACSP,N/A,119.0
PACS008-c12c6a8bf8-INST-20250921-00002,PACS008-c12c6a8bf8,INST-20250921-00002,E2E-20250921-00002,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,,,P00001,P00004,NDEASESSXXX,IRCEIE2DXXX,GOVT,ACSP,N/A,119.0
PACS008-c12c6a8bf8-INST-20250921-00003,PACS008-c12c6a8bf8,INST-20250921-00003,E2E-20250921-00003,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,,,P00001,P00005,NDEASESSXXX,NWBKGB2LXXX,LOAN,ACSP,N/A,119.0
PACS008-c12c6a8bf8-INST-20250921-00004,PACS008-c12c6a8bf8,INST-20250921-00004,E2E-20250921-00004,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,,,P00001,P00006,NDEASESSXXX,HANDSESSXXX,PENS,ACSP,N/A,119.0
PACS008-c12c6a8bf8-INST-20250921-00005,PACS008-c12c6a8bf8,INST-20250921-00005,E2E-20250921-00005,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,,,P00001,P00007,NDEASESSXXX,NDEASESSXXX,GOVT,ACSP,N/A,119.0
PACS008-c12c6a8bf8-INST-20250921-00006,PACS008-c12c6a8bf8,INST-20250921-00006,E2E-20250921-00006,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,119266.38,USD,P00001,P00008,NDEASESSXXX,LOYDGB2LXXX,DIVD,ACSP,N/A,119.0
PACS008-c12c6a8bf8-INST-20250921-00007,PACS008-c12c6a8bf8,INST-20250921-00007,E2E-20250921-00007,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,,,P00001,P00009,NDEASESSXXX,UNCRITMMXXX,TAXS,ACSP,N/A,119.0
PACS008-c12c6a8bf8-INST-20250921-00008,PACS008-c12c6a8bf8,INST-20250921-00008,E2E-20250921-00008,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,,,P00001,P00010,NDEASESSXXX,AGRIFRPPXXX,LOAN,ACSP,N/A,119.0
PACS008-c12c6a8bf8-INST-20250921-00009,PACS008-c12c6a8bf8,INST-20250921-00009,E2E-20250921-00009,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,,,P00001,P00011,NDEASESSXXX,BPPIITRRXXX,DIVD,ACSP,N/A,119.0
